LAD23NM,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
Erewash,112915,5499,6380,6309,5690,5745,6994,7559,6964,6536,7432,8757,8531,7032,6060,6421,4834,3201,2971
Exeter,130713,5883,6207,6117,11777,16354,8958,9036,8466,7435,7277,7774,7379,6355,5488,5671,4201,3123,3212
Fareham,114530,5157,6201,6345,5601,5248,5552,6676,6633,6538,7185,8414,8943,7915,6629,7447,5771,4052,4223
Fenland,102494,5170,5760,5612,5023,5122,6170,6542,6187,5714,6225,7428,7523,6610,6166,6314,4719,3179,3030
Flintshire,154985,7635,8675,9350,8133,7442,8929,9738,9421,8895,10055,11825,11655,10001,8650,9638,6637,4552,3754
Folkestone and Hythe,109746,5106,5789,6174,5235,5252,5834,6193,5927,6204,6677,8013,8373,7547,6918,7765,5567,3699,3473
Forest of Dean,87025,3976,4452,4648,5073,4018,4397,4816,4552,4330,5188,6558,6950,6247,5783,6039,4449,2943,2606
Fylde,81357,3318,3918,4075,3704,3244,3782,4269,4457,4208,4746,6026,6656,6320,5574,5993,4670,3203,3194
Gateshead,196202,10069,11066,11237,10079,10421,12730,13146,12979,11898,12050,13947,14237,12551,10625,10747,7347,5848,5225
Gedling,117266,5981,6719,6819,5730,5297,6876,7582,7481,7315,7507,8705,8605,7355,6600,6932,4932,3545,3285
Gloucester,132426,7456,8327,8169,7627,8487,8887,9805,9161,8352,8234,9202,9009,7589,5945,5723,4457,3013,2983
Gosport,81962,4241,4684,4931,4212,4245,4898,5188,5105,4684,4978,5832,6033,5427,4512,4845,3455,2336,2356
Gravesham,106914,6595,7156,7143,6153,5665,6523,7620,7537,6932,6829,7466,7140,5731,4826,4882,3591,2634,2491
Great Yarmouth,99747,4950,5367,5677,5119,5018,5706,5982,5591,5323,5965,7128,7349,6630,6165,6608,5020,3188,2961
Greenwich,289102,19022,18775,18209,15898,18360,24727,27869,25774,22961,19568,19031,16129,12545,9316,7983,5632,3775,3528
Guildford,143641,6684,7808,8272,10771,13145,8575,8646,8664,9137,9637,9725,9650,7779,6431,6595,4822,3482,3818
Gwynedd,117392,5348,6249,6516,7015,8539,6512,6611,5919,5907,6834,8078,8538,8044,7090,7299,5434,3650,3809
Hackney,259151,16122,15161,15428,14124,18603,31519,31936,23613,18635,15469,14576,13352,10100,7017,5461,3414,2390,2231
Halton,128472,6953,7891,8069,7156,6697,7959,8522,8542,7995,8326,9084,9140,8182,7241,7107,4296,2868,2444
Hammersmith and Fulham,183109,9079,8823,9000,8201,16956,23404,19380,14806,12839,12173,11892,10256,7337,5726,4988,3532,2529,2188
